ip,endpoint,status,timestamp,execution_time,rows_scanned,joins_count
192.168.176.140,/profile,500,2026-03-23 16:02:59.455967,403,4308.0,
172.16.40.62,/api/data,200,2026-03-23 16:02:59.777107,442,,2.0
172.16.236.162,/api/data,200,2026-03-23 16:02:59.950560,293,,3.0
10.0.207.75,/login,200,2026-03-23 16:02:59.950560,722,,
172.16.69.217,/search,200,2026-03-23 16:02:59.950560,582,,
192.168.253.222,/api/data,200,2026-03-23 16:02:59.950560,176,,
172.16.34.237,/profile,500,2026-03-23 16:03:00.176794,578,,2.0
172.16.109.29,/search,200,2026-03-23 16:03:00.341946,708,-100.0,5.0
10.0.13.63,/profile,404,2026-03-23 16:03:00.341946,545,599.0,3.0
172.16.209.26,/search,200,2026-03-23 16:03:00.341946,739,628.0,4.0
192.168.9.22,/checkout,200,2026-03-23 16:03:00.341946,410,1126.0,2.0
10.0.171.171,/login,200,2026-03-23 16:03:00.735762,378,3552.0,2.0
192.168.33.151,/api/data,200,2026-03-23 16:03:00.735762,228,,3.0
10.0.48.13,/login,200,2026-03-23 16:03:01.099488,390,2658.0,
10.0.8.156,/api/data,200,2026-03-23 16:03:01.099488,559,171.0,2.0
192.168.235.171,/search,200,2026-03-23 16:03:01.099488,668,,
172.16.92.216,/checkout,200,2026-03-23 16:03:01.099488,643,3473.0,
192.168.251.6,/api/data,200,2026-03-23 16:03:01.286756,70,,1.0
192.168.139.119,/profile,404,2026-03-23 16:03:01.597723,423,,5.0
192.168.193.22,/profile,500,2026-03-23 16:03:01.597723,661,,4.0
192.168.14.187,/login,200,2026-03-23 16:03:01.943618,387,,4.0
172.16.184.134,/profile,200,2026-03-23 16:03:02.156985,520,2196.0,2.0
10.0.99.53,/login,200,2026-03-23 16:03:02.156985,327,-100.0,
192.168.5.201,/login,200,2026-03-23 16:03:02.156985,521,1980.0,1.0
192.168.75.19,/api/data,200,2026-03-23 16:03:02.156985,249,,
192.168.66.59,/login,200,2026-03-23 16:03:02.156985,-614,,1.0
10.0.14.197,/profile,200,2026-03-23 16:03:02.540235,706,,
10.0.60.100,/api/data,200,2026-03-23 16:03:02.540235,250,,2.0
10.0.179.163,/api/data,200,2026-03-23 16:03:02.540235,687,,
10.0.12.42,/profile,404,2026-03-23 16:03:02.710000,562,,1.0
10.0.205.138,/profile,200,2026-03-23 16:03:02.710000,483,2080.0,3.0
10.0.210.207,/checkout,200,2026-03-23 16:03:02.710000,382,,2.0
10.0.19.211,/login,500,2026-03-23 16:03:02.710000,383,,
172.16.246.22,/checkout,200,2026-03-23 16:03:02.710000,649,1614.0,
192.168.144.15,/search,200,2026-03-23 16:03:02.907747,663,,1.0
192.168.4.218,/login,404,2026-03-23 16:03:02.907747,361,2410.0,3.0
192.168.240.44,/api/data,404,2026-03-23 16:03:02.907747,324,,
192.168.189.142,/profile,404,2026-03-23 16:03:02.907747,495,,1.0
10.0.133.215,/profile,200,2026-03-23 16:03:02.907747,300,-100.0,2.0
10.0.28.77,/login,200,2026-03-23 16:03:03.160652,451,1541.0,
10.0.76.26,/login,200,2026-03-23 16:03:03.160652,557,3691.0,5.0
192.168.128.63,/checkout,200,2026-03-23 16:03:03.160652,380,634.0,2.0
10.0.17.67,/profile,200,2026-03-23 16:03:03.160652,-461,4048.0,4.0
10.0.216.165,/checkout,200,2026-03-23 16:03:03.382624,476,,
172.16.166.245,/search,200,2026-03-23 16:03:03.382624,771,,3.0
172.16.220.26,/api/data,200,2026-03-23 16:03:03.382624,523,,5.0
172.16.173.234,/search,200,2026-03-23 16:03:03.382624,746,2393.0,
10.0.142.10,/profile,200,2026-03-23 16:03:03.576083,774,1521.0,
172.16.165.182,/checkout,999,2026-03-23 16:03:03.576083,715,,
192.168.56.127,/api/data,200,2026-03-23 16:03:03.576083,396,,4.0
10.0.221.23,/search,404,2026-03-23 16:03:03.576083,449,,5.0
192.168.100.236,/profile,200,2026-03-23 16:03:03.938976,232,,
10.0.175.14,/login,200,2026-03-23 16:03:03.938976,-444,,3.0
192.168.40.211,/profile,200,2026-03-23 16:03:04.238159,356,3889.0,2.0
192.168.103.32,/search,200,2026-03-23 16:03:04.238159,81,2633.0,
172.16.247.81,/api/data,500,2026-03-23 16:03:04.506379,428,,1.0
192.168.24.53,/checkout,200,2026-03-23 16:03:04.506379,346,,2.0
192.168.149.114,/login,200,2026-03-23 16:03:04.506379,575,4757.0,5.0
